Time,Boss,Event,Reporter
2019-11-26 03:55 AM,AZUREGOS,CHECKED,Goob
2019-11-26 04:26 AM,AZUREGOS,CHECKED,Derok
2019-11-26 04:56 AM,AZUREGOS,CHECKED,Wena
2019-11-26 05:27 AM,AZUREGOS,CHECKED,Derok
2019-11-26 05:58 AM,AZUREGOS,CHECKED,Derok
2019-11-26 06:20 AM,AZUREGOS,CHECKED,Derok
2019-11-26 06:37 AM,AZUREGOS,KILLED,Ooze
2019-11-26 09:28 AM,KAZZAK,CHECKED,Autonomic
2019-11-26 09:32 AM,AZUREGOS,CHECKED,Excremental
2019-11-26 10:00 AM,AZUREGOS,CHECKED,Op
2019-11-26 10:00 AM,KAZZAK,CHECKED,Op
2019-11-26 10:30 AM,KAZZAK,CHECKED,Op
2019-11-26 10:30 AM,AZUREGOS,CHECKED,Op
2019-11-26 12:00 PM,AZUREGOS,CHECKED,Op
2019-11-26 12:00 PM,KAZZAK,CHECKED,Op
2019-11-26 12:30 PM,AZUREGOS,CHECKED,Op
2019-11-26 12:30 PM,KAZZAK,CHECKED,Op
2019-11-26 12:54 PM,KAZZAK,CHECKED,Brazzmonkey
2019-11-26 01:01 PM,KAZZAK,CHECKED,Op
2019-11-26 01:01 PM,AZUREGOS,CHECKED,Op
2019-11-26 02:00 PM,AZUREGOS,CHECKED,Op
2019-11-26 02:01 PM,KAZZAK,CHECKED,Op
2019-11-26 02:30 PM,KAZZAK,CHECKED,Op
2019-11-26 02:30 PM,AZUREGOS,CHECKED,Op
2019-11-26 03:13 PM,AZUREGOS,CHECKED,Simi
2019-11-26 03:58 PM,AZUREGOS,CHECKED,Simi
2019-11-26 04:35 PM,KAZZAK,CHECKED,Willboof
2019-11-26 04:53 PM,KAZZAK,CHECKED,Bashna
2019-11-26 06:04 PM,KAZZAK,CHECKED,Lokomani
2019-11-26 09:29 PM,AZUREGOS,CHECKED,Zodiackiller
2019-11-26 09:59 PM,AZUREGOS,CHECKED,Zodiackiller
2019-11-26 10:33 PM,AZUREGOS,CHECKED,Zodiackiller
2019-11-26 11:01 PM,AZUREGOS,CHECKED,Zodiackiller
2019-11-26 11:03 PM,AZUREGOS,CHECKED,Zodiackiller
2019-11-26 11:03 PM,KAZZAK,CHECKED,Lokomani
2019-11-26 11:32 PM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 12:01 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 12:19 AM,KAZZAK,CHECKED,Kainslayer
2019-11-27 12:30 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 01:06 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 01:08 AM,KAZZAK,CHECKED,Lokomani
2019-11-27 01:31 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 01:39 AM,KAZZAK,CHECKED,Kainslayer
2019-11-27 02:03 AM,KAZZAK,CHECKED,Kainslayer
2019-11-27 02:04 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 02:30 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 02:33 AM,KAZZAK,CHECKED,Kainslayer
2019-11-27 03:03 AM,KAZZAK,CHECKED,Kainslayer
2019-11-27 03:05 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 03:36 AM,KAZZAK,CHECKED,Kainslayer
2019-11-27 03:37 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 04:02 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 04:32 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 04:33 AM,KAZZAK,CHECKED,Kainslayer
2019-11-27 05:03 AM,KAZZAK,CHECKED,Kainslayer
2019-11-27 05:05 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 05:30 AM,AZUREGOS,CHECKED,Simi
2019-11-27 05:37 AM,KAZZAK,CHECKED,Kainslayer
2019-11-27 06:04 AM,KAZZAK,CHECKED,Kainslayer
2019-11-27 06:04 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 06:32 AM,KAZZAK,CHECKED,Lokomani
2019-11-27 06:33 AM,AZUREGOS,CHECKED,Simi
2019-11-27 07:01 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-27 07:04 AM,KAZZAK,CHECKED,Lokomani
2019-11-27 08:01 AM,AZUREGOS,CHECKED,Op
2019-11-26 09:29 AM,AZUREGOS,RESET,Bran
2019-11-26 09:29 AM,KAZZAK,RESET,Bran
2019-11-27 07:06 AM,KAZZAK,SPAWN,Bran
2019-11-27 07:19 AM,KAZZAK,KILLED,Bran
2019-11-27 08:34 AM,AZUREGOS,CHECKED,Op
2019-11-27 09:05 AM,AZUREGOS,CHECKED,Op
2019-11-27 09:30 AM,AZUREGOS,CHECKED,Op
2019-11-27 10:02 AM,AZUREGOS,CHECKED,Op
2019-11-27 10:29 AM,AZUREGOS,CHECKED,Bashna
2019-11-27 10:53 AM,AZUREGOS,CHECKED,Bashna
2019-11-27 11:00 AM,AZUREGOS,CHECKED,Op
2019-11-27 11:30 AM,AZUREGOS,CHECKED,Op
2019-11-27 12:00 PM,AZUREGOS,CHECKED,Op
2019-11-27 12:30 PM,AZUREGOS,CHECKED,Op
2019-11-27 01:00 PM,AZUREGOS,CHECKED,Op
2019-11-27 01:30 PM,AZUREGOS,CHECKED,Op
2019-11-27 02:00 PM,AZUREGOS,CHECKED,Op
2019-11-27 02:32 PM,AZUREGOS,CHECKED,Op
2019-11-27 03:30 PM,AZUREGOS,CHECKED,Derok
2019-11-27 03:57 PM,AZUREGOS,CHECKED,Derok
2019-11-27 04:27 PM,AZUREGOS,CHECKED,Derok
2019-11-27 05:06 PM,AZUREGOS,CHECKED,Derok
2019-11-27 05:41 PM,AZUREGOS,CHECKED,Derok
2019-11-27 06:06 PM,AZUREGOS,CHECKED,Bodrin
