Time,Boss,Event
11/26/2019 23:01,AZUREGOS,CHECKED
11/26/2019 23:03,AZUREGOS,CHECKED
11/26/2019 23:03,KAZZAK,CHECKED
11/26/2019 23:32,AZUREGOS,CHECKED
11/27/2019 0:01,AZUREGOS,CHECKED
11/27/2019 0:19,KAZZAK,CHECKED
11/27/2019 0:30,AZUREGOS,CHECKED
11/27/2019 1:06,AZUREGOS,CHECKED
11/27/2019 1:08,KAZZAK,CHECKED
11/27/2019 1:31,AZUREGOS,CHECKED
11/27/2019 1:39,KAZZAK,CHECKED
11/27/2019 2:03,KAZZAK,CHECKED
11/27/2019 2:04,AZUREGOS,CHECKED
11/27/2019 2:30,AZUREGOS,CHECKED
11/27/2019 2:33,KAZZAK,CHECKED
11/27/2019 3:03,KAZZAK,CHECKED
11/27/2019 3:05,AZUREGOS,CHECKED
11/27/2019 3:36,KAZZAK,CHECKED
11/27/2019 3:37,AZUREGOS,CHECKED
11/27/2019 4:02,AZUREGOS,CHECKED
11/27/2019 4:32,AZUREGOS,CHECKED
11/27/2019 4:33,KAZZAK,CHECKED
11/27/2019 5:03,KAZZAK,CHECKED
11/27/2019 5:05,AZUREGOS,CHECKED
11/27/2019 5:30,AZUREGOS,CHECKED
11/27/2019 5:37,KAZZAK,CHECKED
11/27/2019 6:04,KAZZAK,CHECKED
11/27/2019 6:04,AZUREGOS,CHECKED
11/27/2019 6:32,KAZZAK,CHECKED
11/27/2019 6:33,AZUREGOS,CHECKED
11/27/2019 7:01,AZUREGOS,CHECKED
11/27/2019 7:04,KAZZAK,CHECKED
11/27/2019 8:01,AZUREGOS,CHECKED
11/26/2019 9:29,AZUREGOS,RESET
11/26/2019 9:29,KAZZAK,RESET
11/27/2019 7:06,KAZZAK,SPAWN
11/27/2019 7:19,KAZZAK,KILLED
11/27/2019 8:34,AZUREGOS,CHECKED
11/27/2019 9:05,AZUREGOS,CHECKED
11/27/2019 9:30,AZUREGOS,CHECKED
11/27/2019 10:02,AZUREGOS,CHECKED
11/27/2019 10:29,AZUREGOS,CHECKED
11/27/2019 10:53,AZUREGOS,CHECKED
11/27/2019 11:00,AZUREGOS,CHECKED
11/27/2019 11:30,AZUREGOS,CHECKED
11/27/2019 12:00,AZUREGOS,CHECKED
11/27/2019 12:30,AZUREGOS,CHECKED
11/27/2019 13:00,AZUREGOS,CHECKED
11/27/2019 13:30,AZUREGOS,CHECKED
11/27/2019 14:00,AZUREGOS,CHECKED
11/27/2019 14:32,AZUREGOS,CHECKED
11/27/2019 15:30,AZUREGOS,CHECKED
11/27/2019 15:57,AZUREGOS,CHECKED
11/27/2019 16:27,AZUREGOS,CHECKED
11/27/2019 17:06,AZUREGOS,CHECKED
